plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,14322,3484,0.8043356172076828,0.0029729756647133153
overall,1,6184,1566,0.7979354838709678,0.004561188971346387
overall,2,1590,449,0.7797940166748406,0.009176897775780794
overall,3,911,233,0.7963286713286714,0.011906883717000057
overall,4,671,193,0.7766203703703703,0.01416998207512781
overall,5,467,117,0.7996575342465754,0.016562736799509706
overall,6,311,101,0.7548543689320388,0.021193127815234004
overall,7,248,66,0.7898089171974523,0.022993407495572576
overall,8,72,22,0.7659574468085106,0.04367026308052565
